condition,method,status,metric,mean,std_population,std_sample,n
aniso_k100,C,complete,angular_sw_bin1,0.009914284572005272,0.0001546137351035727,0.00018936237911479833,3
aniso_k100,C,complete,angular_sw_bin2,0.007658383964250485,0.0003628787969374543,0.0004444339454858971,3
aniso_k100,C,complete,angular_sw_bin3,0.012813015840947628,0.00017463742447944717,0.00021388628998423887,3
aniso_k100,C,complete,angular_sw_mean,0.010589888202957809,9.269816174155099e-05,0.0001135315981803926,3
aniso_k100,C,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k100,C,complete,inf_rate,0.0,0.0,0.0,3
aniso_k100,C,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k100,C,complete,ks_stat,0.011399984359741211,0.0,0.0,3
aniso_k100,C,complete,mmd,0.00040086110432942707,6.101903706693336e-05,7.47327527049799e-05,3
aniso_k100,C,complete,nan_rate,0.0,0.0,0.0,3
aniso_k100,C,complete,nfe,512,0.0,0.0,3
aniso_k100,C,complete,q950_err,0.007355114107474705,1.012173493525198e-07,1.239654295153494e-07,3
aniso_k100,C,complete,q990_err,0.002717390465918666,4.363441787592424e-08,5.344102950969569e-08,3
aniso_k100,C,complete,q995_err,0.014684789080837594,7.155907061014765e-08,8.764160473132693e-08,3
aniso_k100,C,complete,radial_w1,0.8959003289540609,1.1239159602905075e-07,1.3765103082409519e-07,3
aniso_k100,C,complete,sample_time_s,0.24951138347387314,0.003178561080611924,0.003892926381884361,3
aniso_k100,C,complete,sliced_w1,1.258186936378479,0.09357823344667285,0.11460946148769743,3
aniso_k100,C,complete,tail_exc_95,0.003200001269578978,0.0,0.0,3
aniso_k100,C,complete,tail_exc_99,0.0004000000283121974,0.0,0.0,3
aniso_k100,C,complete,total_train_time_s,26.88492163270712,0.17699203109208358,0.21677008235721004,3
aniso_k100,tflow,complete,angular_sw_bin0,0.06830637156963348,0.005114930777350795,0.00626448523708338,3
aniso_k100,tflow,complete,angular_sw_bin1,0.08475683877865474,0.004448696245861125,0.005448517911497429,3
aniso_k100,tflow,complete,angular_sw_bin2,0.09411586821079254,0.0027905689337492396,0.0034177349898740763,3
aniso_k100,tflow,complete,angular_sw_bin3,0.10845264792442322,0.007119493998054028,0.00871956376101987,3
aniso_k100,tflow,complete,angular_sw_mean,0.088907931620876,0.003325135225139054,0.004072442313672573,3
aniso_k100,tflow,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k100,tflow,complete,inf_rate,0.0,0.0,0.0,3
aniso_k100,tflow,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k100,tflow,complete,ks_stat,0.5031000276406606,0.08052532389922243,0.09862297746271922,3
aniso_k100,tflow,complete,mmd,0.07370412349700928,0.005993867091128519,0.007340957979662476,3
aniso_k100,tflow,complete,n_params,41504,0.0,0.0,3
aniso_k100,tflow,complete,nan_rate,0.0,0.0,0.0,3
aniso_k100,tflow,complete,nfe,512,0.0,0.0,3
aniso_k100,tflow,complete,q950_err,0.21241738952066144,0.06277726066990956,0.07688612804548464,3
aniso_k100,tflow,complete,q990_err,0.10089098886638764,0.04934703378416815,0.060437526545547425,3
aniso_k100,tflow,complete,q995_err,0.04259291426974169,0.053515590493337685,0.0655429449962078,3
aniso_k100,tflow,complete,radial_w1,60.26828257242838,10.280858832619051,12.591429128751102,3
aniso_k100,tflow,complete,sample_time_s,0.418299147238334,0.0021396121467655736,0.002620479003518284,3
aniso_k100,tflow,complete,sliced_w1,13.61447556813558,0.4672442354708354,0.5722549810801896,3
aniso_k100,tflow,complete,tail_exc_95,0.03630000030001009,0.004920026799923473,0.006025777590315445,3
aniso_k100,tflow,complete,tail_exc_99,0.004466666675483196,0.0018006171264592725,0.002205296590970854,3
aniso_k100,tflow,complete,total_train_time_s,32.34228814765811,1.496722517807666,1.833103227581245,3
aniso_k3,A,complete,angular_sw_bin0,0.00892355851829052,0.000538382925307104,0.0006593817266146765,3
aniso_k3,A,complete,angular_sw_bin1,0.007842260723312696,0.00023381323536598203,0.000286361560877961,3
aniso_k3,A,complete,angular_sw_bin2,0.007721461666127046,0.00015993803911945706,0.00019588329315198237,3
aniso_k3,A,complete,angular_sw_bin3,0.008413652113328377,0.0005317001941046101,0.0006511970858475336,3
aniso_k3,A,complete,angular_sw_mean,0.00822523325526466,0.00013726199494203088,0.00016811092434223054,3
aniso_k3,A,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k3,A,complete,inf_rate,0.0,0.0,0.0,3
aniso_k3,A,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k3,A,complete,ks_stat,0.015500009059906006,0.0,0.0,3
aniso_k3,A,complete,mmd,0.00019236405690511069,9.865043895361937e-06,1.2082161916897435e-05,3
aniso_k3,A,complete,nan_rate,0.0,0.0,0.0,3
aniso_k3,A,complete,nfe,512,0.0,0.0,3
aniso_k3,A,complete,q950_err,7.151622793256476e-05,8.843001405092245e-08,1.0830420618595343e-07,3
aniso_k3,A,complete,q990_err,0.011286100988406138,1.5381060346893858e-07,1.8837874776422788e-07,3
aniso_k3,A,complete,q995_err,0.0180618671130738,5.9441539956768923e-08,7.280072120967096e-08,3
