condition,method,seed,status,metric,value,result_path
aniso_k1,B,77395,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,q950_err,0.0032145683060073984,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,q990_err,0.0008872112206024467,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,q995_err,0.0030268772982811366,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,radial_w1,0.012358881533145905,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,sample_time_s,0.28298404812812805,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,sliced_w1,0.02097201906144619,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,tail_exc_95,0.002500000596046492,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,tail_exc_99,0.0002000003680586726,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,77395,complete,total_train_time_s,29.12326254695654,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json
aniso_k1,B,65457,complete,angular_sw_bin0,0.00818649586290121,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,angular_sw_bin1,0.008244959637522697,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,angular_sw_bin2,0.0075052399188280106,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,angular_sw_bin3,0.009000162594020367,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,angular_sw_mean,0.008234214503318071,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,mmd,0.00014722347259521484,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
